ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,binary_label
1545407407.635806,192.168.1.196,58974.0,132.169.183.195,23.0,tcp,missing,3.126449,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1536227147.585584,192.168.100.111,18344.0,197.159.251.198,52869.0,tcp,missing,2e-06,0.0,0.0,S0,0.0,S,2.0,80.0,0.0,0.0,DDoS,1
1545405211.92316,192.168.1.196,56444.0,179.76.186.199,23.0,tcp,missing,3.159464,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1551380551.7016962,192.168.1.200,40972.0,215.114.190.225,23.0,tcp,missing,1.1e-05,0.0,0.0,S0,0.0,S,2.0,120.0,0.0,0.0,PartOfAHorizontalPortScan,1
1532104440.22881,192.168.100.108,5526.0,98.172.99.30,37215.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,Okiru,1
1545337361.089145,192.168.1.197,38114.0,78.138.80.92,8081.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1547066196.130702,192.168.1.194,58562.0,132.210.97.45,22.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1547066087.656539,192.168.1.194,60861.0,142.7.254.33,22.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1538614943.6778,192.168.100.113,58061.0,192.168.100.1,53.0,udp,dns,0.00075,45.0,45.0,SF,0.0,Dd,1.0,73.0,1.0,73.0,Benign,0
1545403650.279142,192.168.1.196,36150.0,84.59.153.140,23.0,tcp,missing,3.12224,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1545337328.724609,192.168.1.197,38114.0,59.161.153.9,8081.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1547066160.3838391,192.168.1.194,50387.0,174.16.160.221,22.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545405395.3556368,192.168.1.196,41160.0,136.247.153.178,23.0,tcp,missing,3.087506,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1547066193.648366,192.168.1.194,54124.0,194.148.102.255,22.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545406622.04094,192.168.1.196,54630.0,47.168.79.108,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1547144840.528334,192.168.1.198,54836.0,185.67.85.99,52869.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1532527691.007777,192.168.100.111,31856.0,118.52.130.173,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545406623.720952,192.168.1.196,35178.0,159.120.177.142,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1547144804.7028198,192.168.1.198,53994.0,185.139.172.107,52869.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1532104268.707047,192.168.100.108,5526.0,86.18.71.158,37215.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,Okiru,1
1545405348.754194,192.168.1.196,50928.0,78.73.46.70,23.0,tcp,missing,3.129982,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1545404454.841708,192.168.1.196,37042.0,134.70.149.146,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1532528866.00382,192.168.100.111,35572.0,147.32.20.66,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1551382233.496795,192.168.1.200,51452.0,101.193.167.159,23.0,tcp,missing,3.087246,0.0,0.0,S0,0.0,S,6.0,360.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545406942.042084,192.168.1.196,60350.0,124.44.42.36,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1545403435.285356,192.168.1.196,34532.0,107.120.113.67,23.0,tcp,missing,3.157103,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1532104157.486192,192.168.100.108,5526.0,109.174.95.94,37215.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,Okiru,1
1532101713.917567,192.168.100.108,5526.0,170.92.209.25,37215.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,Okiru,1
1545406330.376785,192.168.1.196,36280.0,204.222.197.237,23.0,tcp,missing,3.104945,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1545403733.64586,192.168.1.196,47820.0,191.109.118.116,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1551381046.900881,192.168.1.200,46898.0,173.225.208.117,23.0,tcp,missing,3.120779,0.0,0.0,S0,0.0,S,6.0,360.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545407445.321044,192.168.1.196,57022.0,111.186.165.123,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1551379615.586066,192.168.1.200,54502.0,136.196.196.243,23.0,tcp,missing,3.157951,0.0,0.0,S0,0.0,S,6.0,360.0,0.0,0.0,PartOfAHorizontalPortScan,1
1569018211.541948,192.168.1.195,9406.0,162.248.88.215,62336.0,tcp,missing,0.0,0.0,0.0,OTH,0.0,C,0.0,0.0,0.0,0.0,DDoS,1
1545406880.762343,192.168.1.196,44138.0,120.34.46.153,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1545407758.4431288,192.168.1.196,45928.0,214.160.160.105,23.0,tcp,missing,3.117217,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1547066058.633333,192.168.1.194,35469.0,198.204.232.13,22.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1547144815.47014,192.168.1.198,11315.0,45.152.22.241,52869.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1532525797.024087,192.168.100.111,29930.0,89.135.68.162,31233.0,udp,missing,84.010942,424.0,0.0,S0,0.0,D,4.0,536.0,0.0,0.0,Benign,0
1545407277.800677,192.168.1.196,50060.0,150.37.110.149,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1551379451.784557,192.168.1.200,57890.0,160.179.67.214,23.0,tcp,missing,2e-06,0.0,0.0,S0,0.0,S,2.0,120.0,0.0,0.0,PartOfAHorizontalPortScan,1
