ts,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,binary_label
1536227413.6688302,192.168.100.111,17832.0,156.134.152.245,37215.0,tcp,missing,6e-06,0.0,0.0,S0,0.0,S,2.0,80.0,0.0,0.0,Okiru,1
1536227701.680368,192.168.100.111,17576.0,132.30.161.98,8081.0,tcp,missing,1e-06,0.0,0.0,S0,0.0,S,2.0,80.0,0.0,0.0,PartOfAHorizontalPortScan,1
1532526791.003999,192.168.100.111,23563.0,53.198.47.139,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545408085.000807,192.168.1.196,45502.0,57.96.101.97,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,60.0,0.0,0.0,Benign,0
1532528720.009985,192.168.100.111,35135.0,164.226.216.7,23.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,PartOfAHorizontalPortScan,1
1545404784.564903,192.168.1.196,42526.0,126.37.61.44,23.0,tcp,missing,3.157708,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1545406645.415544,192.168.1.196,44402.0,198.147.173.184,23.0,tcp,missing,3.107226,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1545406339.403333,192.168.1.196,52180.0,213.185.209.196,23.0,tcp,missing,3.121981,0.0,0.0,S0,0.0,S,3.0,180.0,0.0,0.0,Benign,0
1538624304.684346,192.168.100.113,55715.0,192.168.100.1,53.0,udp,dns,0.000492,45.0,45.0,SF,0.0,Dd,1.0,73.0,1.0,73.0,Benign,0
1545397781.0216632,192.168.1.198,36097.0,157.213.91.208,37215.0,tcp,missing,0.0,0.0,0.0,S0,0.0,S,1.0,40.0,0.0,0.0,Okiru,1
